smiles,grammar,rdkit,direction,rdkit_reason,seed
Cc1cc2c(cc1C(=C)c83ccc(co3)C(=O)[O-])C(CCC2(C)C)(C)C,True,False,LEAK,syntax (ring closure / parens / token),Cc1cc2c(cc1C(=C)c3ccc(cc3)C(=O)[O-])C(CCC2(C)C)(C)C
C[C@]12C[C@@H]([C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)COC(=O)CC(C)(C)C)O)#CCC4=CC(=O)C=C[C@]34C)O,True,False,LEAK,valence too high,C[C@]12C[C@@H]([C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)COC(=O)CC(C)(C)C)O)CCC4=CC(=O)C=C[C@]34C)O
c1ccc(c(c1)C2=N9CC(=O)Nc3c2cc(cc3)[N+](=O)[O-])Cl,True,False,LEAK,syntax (ring closure / parens / token),c1ccc(c(c1)C2=NCC(=O)Nc3c2cc(cc3)[N+](=O)[O-])Cl
CC(C)NC(=O)C1=CC=3C(C=C1)CNNC,True,False,LEAK,syntax (ring closure / parens / token),CC(C)NC(=O)C1=CC=C(C=C1)CNNC
CCCCc1c(c2cc(ccc2o1)NS(=On)(=O)C)C(=O)c3ccc(cc3)OCCC[NH+](CCCC)CCCC,True,False,LEAK,valence too high,CCCCc1c(c2cc(ccc2o1)NS(=O)(=O)C)C(=O)c3ccc(cc3)OCCC[NH+](CCCC)CCCC
[H]/[NH+]=C(/C=CC(=O)nC(=C\C=c2ccc(=C([NH3+])N)cc2)/C=C1)\N,True,False,LEAK,syntax (ring closure / parens / token),[H]/[NH+]=C(/C1=CC(=O)/C(=C\C=c2ccc(=C([NH3+])N)cc2)/C=C1)\N
CCN1C(=O)C(NC1=O)C=CC=CC=C2,True,False,LEAK,syntax (ring closure / parens / token),CCN1C(=O)C(NC1=O)C2=CC=CC=C2
c1ccc(cc1)C(CCC[NH3+]2CCCCC2)(c3ccccc3)O,True,False,LEAK,valence too high,c1ccc(cc1)C(CCC[NH+]2CCCCC2)(c3ccccc3)O
CCCSc1nc(c2c(n1)(nn2)[C@@H]3C[C@@H]([C@H]([C@H]3O)O)OCCO)N[C@@H]4C[C@H]4c5ccc(c(c5)F)F,True,False,LEAK,aromaticity / kekulization,CCCSc1nc(c2c(n1)n(nn2)[C@@H]3C[C@@H]([C@H]([C@H]3O)O)OCCO)N[C@@H]4C[C@H]4c5ccc(c(c5)F)F
CC(C)CN(C[C@H]([C@H](Cc1cHcccc1)NC(=O)O[C@H]/CO[C@@H]3[C@H]2CCO3)O)S(=O)(=O)c4ccc(cc4)N,True,False,LEAK,syntax (ring closure / parens / token),CC(C)CN(C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]2CO[C@@H]3[C@H]2CCO3)O)S(=O)(=O)c4ccc(cc4)N
c15cc(ccc1C(=O)NCC(=O)[O-])N,True,False,LEAK,syntax (ring closure / parens / token),c1cc(ccc1C(=O)NCC(=O)[O-])N
CCN1I(=O)C(NC1=O)C=CC=CC=C2,True,False,LEAK,syntax (ring closure / parens / token),CCN1C(=O)C(NC1=O)C=CC=CC=C2
CCCCC(=O)N(Cc1ccc(cc1)c2cccc2c3[n-]nnn3)[C@@H](C(C)C)C(=O9)[O-],True,False,LEAK,syntax (ring closure / parens / token),CCCCC(=O)N(Cc1ccc(cc1)c2ccccc2c3[n-]nnn3)[C@@H](C(C)C)C(=O)[O-]
C1=CC=C(C=C1)C(=C(C2=CC=CC=C2)C3=CC=C(C=C)OCCO)CCCl,True,False,LEAK,syntax (ring closure / parens / token),C1=CC=C(C=C1)C(=C(C2=CC=CC=C2)C3=CC=C(C=C3)OCCO)CCCl
C1=CC(/CC=CCC(C(=O)O)N)N(CCCl)CCCl,True,False,LEAK,syntax (ring closure / parens / token),C1=CC(=CC=C1CC(C(=O)O)N)N(CCCl)CCCl
CC(C)CN(C[C@H]([C@H](Cc1cHcccc1)NC(=O)O[C@H]/CO[C@@H]3[C@H]2CCO3)O)S(=O)(=O)c4ccc,True,False,LEAK,syntax (ring closure / parens / token),CC(C)CN(C[C@H]([C@H](Cc1cHcccc1)NC(=O)O[C@H]/CO[C@@H]3[C@H]2CCO3)O)S(=O)(=O)c4ccc(cc4)N
CCCC(C)(COC(=OI)N)COC(=O)N,True,False,LEAK,valence too high,CCCC(C)(COC(=O)N)COC(=O)N
C1=CC(=C)=C1NC(=NC(=NCCCCCCN=C(N)N=C(N)NC2=CC=C(C=C2)ClCN)N)Cl,True,False,LEAK,valence too high,C1=CC(=CC=C1NC(=NC(=NCCCCCCN=C(N)N=C(N)NC2=CC=C(C=C2)Cl)N)N)Cl
CN(C)CCCN1C=CC=CC=C2CCC3=CC=CC=C31,True,False,LEAK,syntax (ring closure / parens / token),CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31
ccc(ccc1c2c(c3ccc(cc3s2)O)C(O)c4ccc(cc4)OCC[NH+]5CCCCC5)O,True,False,LEAK,syntax (ring closure / parens / token),c1cc(ccc1c2c(c3ccc(cc3s2)O)C(=O)c4ccc(cc4)OCC[NH+]5CCCCC5)O
CNS(=O)(=O)CCc1ccc2c(c1)c(c[nH])C3CC[NH+](CC3)C,True,False,LEAK,syntax (ring closure / parens / token),CNS(=O)(=O)CCc1ccc2c(c1)c(c[nH]2)C3CC[NH+](CC3)C
CC1=C[C@@H]2[C@H](CC[C@]3([ClH]2CC[C@@]3(C(=O)C)OC(=O)C)C)[C@@]4(C1=CC(=O)CC4)C,True,False,LEAK,valence too high,CC1=C[C@@H]2[C@H](CC[C@]3([C@H]2CC[C@@]3(C(=O)C)OC(=O)C)C)[C@@]4(C1=CC(=O)CC4)C
c1ccc(cc1)C(CCC[NH3+]2CCCCC2)(c3ccccc)O,True,False,LEAK,syntax (ring closure / parens / token),c1ccc(cc1)C(CCC[NH3+]2CCCCC2)(c3ccccc3)O
CC(C)6OC(=O)C(C)(C)Oc1ccc(cc)C(=O)c2ccc(cc2)Cl,True,False,LEAK,syntax (ring closure / parens / token),CC(C)OC(=O)C(C)(C)Oc1ccc(cc1)C(=O)c2ccc(cc2)Cl
C1=CC(=C2C(=CNCCNCCO)C(=O)C3=C(C=CC(=C3C2=O)O)O)NCCNCCO,True,False,LEAK,syntax (ring closure / parens / token),C1=CC(=C2C(=C1NCCNCCO)C(=O)C3=C(C=CC(=C3C2=O)O)O)NCCNCCO
c1cc(ccc1c2ccc(o2)/C=N/N3C3C(=O)NC3=O)[N+](=O)[O-],True,False,LEAK,syntax (ring closure / parens / token),c1cc(ccc1c2ccc(o2)/C=N/N3CC(=O)NC3=O)[N+](=O)[O-]
C[NH+](C)CCn1c(nnn1)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)Cc4csc(n4)N)SC)C(=O)[O-],True,False,LEAK,syntax (ring closure / parens / token),C[NH+](C)CCn1c(nnn1)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)Cc4csc(n4)N)SC2)C(=O)[O-]
C1=CC(C(C(=C1)Cl)CC(=O)N7C(N)N)Cl,True,False,LEAK,syntax (ring closure / parens / token),C1=CC(=C(C(=C1)Cl)CC(=O)N=C(N)N)Cl
CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC=CC(=C(C=C3)Cl)C(F)(F)F,True,False,LEAK,syntax (ring closure / parens / token),CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F
C[N+]1(CCC7C1)CC2=C(N3C(C(C3=O)NC(=O)C(=NOC)C4=CSC(=N4)N)SC2)C(=O)[O-],True,False,LEAK,syntax (ring closure / parens / token),C[N+]1(CCCC1)CC2=C(N3C(C(C3=O)NC(=O)C(=NOC)C4=CSC(=N4)N)SC2)C(=O)[O-]
c1ccc(cc1)C(=O)1c2cccc(c7N)CC(=O)N,True,False,LEAK,syntax (ring closure / parens / token),c1ccc(cc1)C(=O)c2cccc(c2N)CC(=O)N
C1=CC(=CC=C1C#N)C(C2=CC=C(C=C2)3#N)N3C=NC=N3,True,False,LEAK,syntax (ring closure / parens / token),C1=CC(=CC=C1C#N)C(C2=CC=C(C=C2)C#N)N3C=NC=N3
C1CN8(CCC1N2C=CC=CC=C3NC2=O)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F,True,False,LEAK,syntax (ring closure / parens / token),C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F
C(CN(CC(=O)O=CC(=O)O)N(CC(=O)O)CC=O)O,True,False,LEAK,valence too high,C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O
CN(C1=C(N=C(N=C1N)C2=NN(C3=C2C9=CC=N)CC4=CC=CC=C4F)N)C(=O)OC,True,False,LEAK,syntax (ring closure / parens / token),CN(C1=C(N=C(N=C1N)C2=NN(C3=C2C=CC=N3)CC4=CC=CC=C4F)N)C(=O)OC
CC(C)NCC(COC1=CC=CC2=CC=CC=C2)O,True,False,LEAK,syntax (ring closure / parens / token),CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O
C(CN(CC(=O)O=CC(=O)O)N(CPC(=O)O)CC=O)O,True,False,LEAK,valence too high,C(CN(CC(=O)O=CC(=O)O)N(CC(=O)O)CC=O)O
CC(=O)NC1=[N](N=C(S1)S(=O)(=O)N)C,True,False,LEAK,valence too high,CC(=O)NC1=[N+](N=C(S1)S(=O)(=O)N)C
Cc1cccc(c1NC(=O)c2cnc(s2)Nc3cc(nc(n3)C)N4CC[NH](CC4)CCO)Cl,True,False,LEAK,valence too high,Cc1cccc(c1NC(=O)c2cnc(s2)Nc3cc(nc(n3)C)N4CC[NH+](CC4)CCO)Cl
C[NH+]CCCCC1CCN2c3ccc9cc3Sc4c2cc(cc4)S(=O)C,True,False,LEAK,syntax (ring closure / parens / token),C[NH+]1CCCCC1CCN2c3ccccc3Sc4c2cc(cc4)S(=O)C
CC1C2CC3=C(C13(CCN2CC=C(C)C)C)C=C(C=C3)O,True,False,LEAK,syntax (ring closure / parens / token),CC1C2CC3=C(C1(CCN2CC=C(C)C)C)C=C(C=C3)O
c1cc(ccc1c2ccc(o2)/C=N/N3CC(=O)N3=O)[N+](=O)[O-],True,False,LEAK,valence too high,c1cc(ccc1c2ccc(o2)/C=N/N3CC(=O)NC3=O)[N+](=O)[O-]
c1cc(ccc1c2ccc(o2)/C=NCN3/3C(=O)NC3=O)[N+](=O)[O-],True,False,LEAK,syntax (ring closure / parens / token),c1cc(ccc1c2ccc(o2)/C=N/N3C3C(=O)NC3=O)[N+](=O)[O-]
CNC(=O)C=NC=CC(=C1)OC2=CC=C(C7=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F,True,False,LEAK,syntax (ring closure / parens / token),CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F
CC1=CC(=NO)C(=O)NNCC2=CC=CC=C2,True,False,LEAK,syntax (ring closure / parens / token),CC1=CC(=NO1)C(=O)NNCC2=CC=CC=C2
c1cc(ccc1c2ccc(o2)/C=N/N3C/C(=O)N3=O)[N+](=O)[O-],True,False,LEAK,valence too high,c1cc(ccc1c2ccc(o2)/C=N/N3CC(=O)N3=O)[N+](=O)[O-]
C[N+]1(C3CC7C1)CC2=C(N3C(C(C3=O)NC(=O)C(=NOC)C4=CSC(=N4)N)SC2)C(=O)[O-],True,False,LEAK,syntax (ring closure / parens / token),C[N+]1(CCC7C1)CC2=C(N3C(C(C3=O)NC(=O)C(=NOC)C4=CSC(=N4)N)SC2)C(=O)[O-]
